Date,Close,FTSE 100,Date,Close,Dow Jones ,Date,Close,CAC 40,Date,Close,Nikkei 225,Date,Close,FTSE MIB,Date,Close,SZSE Component Index,Date,Close,DAX,Date,Close,EURONEXT 100
2/5/2020 16:30:00,7482.48,7482.48,2/6/2020 16:00:00,29379.77,29379.77,2/5/2020 17:30:00,5985.4,5985.4,2/10/2020 15:00:00,23685.98,23685.98,2/5/2020 17:30:00,24236.63,24236.63,2/13/2020 15:00:00,10864.32,10864.32,2/5/2020 20:00:00,13478.33,13478.33,2/5/2020 17:30:00,1156.32,1156.32
2/6/2020 16:30:00,7504.79,7504.79,2/7/2020 16:00:00,29102.51,29102.51,2/6/2020 17:30:00,6038.18,6038.18,2/12/2020 15:00:00,23861.21,23861.21,2/6/2020 17:30:00,24490.35,24490.35,2/14/2020 15:00:00,10916.31,10916.31,2/6/2020 20:00:00,13574.82,13574.82,2/6/2020 17:30:00,1164.68,1164.68
2/7/2020 16:30:00,7466.7,7466.7,2/10/2020 16:00:00,29276.82,29276.82,2/7/2020 17:30:00,6029.75,6029.75,2/13/2020 15:00:00,23827.73,23827.73,2/7/2020 17:30:00,24478.32,24478.32,2/17/2020 15:00:00,11241.5,11241.5,2/7/2020 20:00:00,13513.81,13513.81,2/7/2020 17:30:00,1161.09,1161.09
2/10/2020 16:30:00,7446.88,7446.88,2/11/2020 16:00:00,29276.34,29276.34,2/10/2020 17:30:00,6015.67,6015.67,2/14/2020 15:00:00,23687.59,23687.59,2/10/2020 17:30:00,24507.7,24507.7,2/18/2020 15:00:00,11306.49,11306.49,2/10/2020 20:00:00,13494.03,13494.03,2/10/2020 17:30:00,1159.84,1159.84
2/11/2020 16:30:00,7499.44,7499.44,2/12/2020 16:00:00,29551.42,29551.42,2/11/2020 17:30:00,6054.76,6054.76,2/17/2020 15:00:00,23523.24,23523.24,2/11/2020 17:30:00,24688.89,24688.89,2/19/2020 15:00:00,11235.6,11235.6,2/11/2020 20:00:00,13627.84,13627.84,2/11/2020 17:30:00,1167.97,1167.97
2/12/2020 16:30:00,7534.37,7534.37,2/13/2020 16:00:00,29423.31,29423.31,2/12/2020 17:30:00,6104.73,6104.73,2/18/2020 15:00:00,23193.8,23193.8,2/12/2020 17:30:00,24861.28,24861.28,2/20/2020 15:00:00,11509.09,11509.09,2/12/2020 20:00:00,13749.78,13749.78,2/12/2020 17:30:00,1177.67,1177.67
2/13/2020 16:30:00,7452.03,7452.03,2/14/2020 16:00:00,29398.08,29398.08,2/13/2020 17:30:00,6093.14,6093.14,2/19/2020 15:00:00,23400.7,23400.7,2/13/2020 17:30:00,24892.15,24892.15,2/21/2020 15:00:00,11629.7,11629.7,2/13/2020 20:00:00,13745.43,13745.43,2/13/2020 17:30:00,1176.13,1176.13
2/14/2020 16:30:00,7409.13,7409.13,2/18/2020 16:00:00,29232.19,29232.19,2/14/2020 17:30:00,6069.35,6069.35,2/20/2020 15:00:00,23479.15,23479.15,2/14/2020 17:30:00,24867.01,24867.01,2/24/2020 15:00:00,11772.38,11772.38,2/14/2020 20:00:00,13744.21,13744.21,2/14/2020 17:30:00,1174.35,1174.35
2/17/2020 16:30:00,7433.25,7433.25,2/19/2020 16:00:00,29348.03,29348.03,2/17/2020 17:30:00,6085.95,6085.95,2/21/2020 15:00:00,23386.74,23386.74,2/17/2020 17:30:00,25120.54,25120.54,2/25/2020 15:00:00,11856.08,11856.08,2/17/2020 20:00:00,13783.89,13783.89,2/17/2020 17:30:00,1176.46,1176.46
2/18/2020 16:30:00,7382.01,7382.01,2/20/2020 16:00:00,29219.98,29219.98,2/18/2020 17:30:00,6056.82,6056.82,2/25/2020 15:00:00,22605.41,22605.41,2/18/2020 17:30:00,25223.51,25223.51,2/26/2020 15:00:00,11497.55,11497.55,2/18/2020 20:00:00,13681.19,13681.19,2/18/2020 17:30:00,1172.73,1172.73
