Date,restaurant,delivery,isPartial,Time
2020-01-17,48,13,False,13:00:00
2020-01-17,52,14,False,14:00:00
2020-01-17,60,15,False,15:00:00
2020-01-17,73,17,False,16:00:00
2020-01-17,84,19,False,17:00:00
2020-01-17,84,18,False,18:00:00
2020-01-17,77,18,False,19:00:00
2020-01-17,73,18,False,20:00:00
2020-01-17,76,19,False,21:00:00
2020-01-17,85,24,False,22:00:00
2020-01-17,89,29,False,23:00:00
2020-01-18,83,31,False,00:00:00
2020-01-18,71,28,False,01:00:00
2020-01-18,62,27,False,02:00:00
2020-01-18,55,24,False,03:00:00
2020-01-18,47,22,False,04:00:00
2020-01-18,45,21,False,05:00:00
2020-01-18,45,17,False,06:00:00
2020-01-18,48,15,False,07:00:00
2020-01-18,53,14,False,08:00:00
2020-01-18,60,13,False,09:00:00
2020-01-18,66,14,False,10:00:00
2020-01-18,70,13,False,11:00:00
2020-01-18,65,13,False,12:00:00
2020-01-18,63,13,False,13:00:00
2020-01-18,65,14,False,14:00:00
2020-01-18,74,16,False,15:00:00
2020-01-18,88,17,False,16:00:00
2020-01-18,100,19,False,17:00:00
2020-01-18,99,20,False,18:00:00
2020-01-18,90,20,False,19:00:00
2020-01-18,84,20,False,20:00:00
2020-01-18,85,22,False,21:00:00
2020-01-18,96,27,False,22:00:00
2020-01-18,91,31,False,23:00:00
2020-01-19,84,32,False,00:00:00
2020-01-19,72,29,False,01:00:00
2020-01-19,61,26,False,02:00:00
2020-01-19,54,26,False,03:00:00
2020-01-19,46,22,False,04:00:00
2020-01-19,41,20,False,05:00:00
2020-01-19,42,19,False,06:00:00
2020-01-19,46,15,False,07:00:00
2020-01-19,50,13,False,08:00:00
2020-01-19,55,13,False,09:00:00
2020-01-19,60,13,False,10:00:00
2020-01-19,61,12,False,11:00:00
2020-01-19,57,12,False,12:00:00
2020-01-19,56,12,False,13:00:00
2020-01-19,60,13,False,14:00:00
2020-01-19,66,15,False,15:00:00
2020-01-19,74,17,False,16:00:00
2020-01-19,84,21,False,17:00:00
2020-01-19,83,20,False,18:00:00
2020-01-19,77,20,False,19:00:00
2020-01-19,68,25,False,20:00:00
2020-01-19,71,25,False,21:00:00
2020-01-19,72,29,False,22:00:00
2020-01-19,70,35,False,23:00:00
2020-01-20,65,31,False,00:00:00
2020-01-20,55,28,False,01:00:00
2020-01-20,50,25,False,02:00:00
2020-01-20,45,24,False,03:00:00
2020-01-20,41,23,False,04:00:00
2020-01-20,39,40,False,05:00:00
2020-01-20,38,17,False,06:00:00
2020-01-20,40,15,False,07:00:00
2020-01-20,42,12,False,08:00:00
2020-01-20,46,13,False,09:00:00
2020-01-20,50,12,False,10:00:00
2020-01-20,48,12,False,11:00:00
2020-01-20,45,16,False,12:00:00
2020-01-20,43,20,False,13:00:00
2020-01-20,47,29,False,14:00:00
2020-01-20,53,30,False,15:00:00
2020-01-20,61,25,False,16:00:00
2020-01-20,68,20,False,17:00:00
2020-01-20,68,25,False,18:00:00
2020-01-20,64,17,False,19:00:00
2020-01-20,62,19,False,20:00:00
2020-01-20,63,34,False,21:00:00
2020-01-20,65,40,False,22:00:00
2020-01-20,65,33,False,23:00:00
2020-01-21,59,25,False,00:00:00
2020-01-21,52,24,False,01:00:00
2020-01-21,51,24,False,02:00:00
2020-01-21,44,22,False,03:00:00
2020-01-21,37,20,False,04:00:00
2020-01-21,35,18,False,05:00:00
2020-01-21,35,16,False,06:00:00
2020-01-21,39,13,False,07:00:00
2020-01-21,43,13,False,08:00:00
2020-01-21,47,13,False,09:00:00
2020-01-21,52,13,False,10:00:00
2020-01-21,49,12,False,11:00:00
2020-01-21,43,12,False,12:00:00
2020-01-21,42,13,False,13:00:00
2020-01-21,44,13,False,14:00:00
2020-01-21,50,15,False,15:00:00
2020-01-21,58,16,False,16:00:00
2020-01-21,65,17,False,17:00:00
2020-01-21,64,17,False,18:00:00
2020-01-21,59,16,False,19:00:00
2020-01-21,58,16,False,20:00:00
2020-01-21,59,18,False,21:00:00
2020-01-21,62,21,False,22:00:00
2020-01-21,62,24,False,23:00:00
2020-01-22,57,24,False,00:00:00
2020-01-22,56,23,False,00:00:00
2020-01-22,50,22,False,01:00:00
2020-01-22,47,21,False,02:00:00
2020-01-22,42,19,False,03:00:00
2020-01-22,37,19,False,04:00:00
2020-01-22,36,17,False,05:00:00
2020-01-22,37,14,False,06:00:00
2020-01-22,38,13,False,07:00:00
2020-01-22,42,13,False,08:00:00
2020-01-22,47,12,False,09:00:00
2020-01-22,51,12,False,10:00:00
2020-01-22,48,11,False,11:00:00
2020-01-22,43,11,False,12:00:00
2020-01-22,42,12,False,13:00:00
2020-01-22,44,13,False,14:00:00
2020-01-22,51,14,False,15:00:00
2020-01-22,59,16,False,16:00:00
2020-01-22,64,16,False,17:00:00
2020-01-22,62,16,False,18:00:00
2020-01-22,60,15,False,19:00:00
2020-01-22,57,15,False,20:00:00
2020-01-22,58,16,False,21:00:00
2020-01-22,61,20,False,22:00:00
2020-01-22,62,23,False,23:00:00
2020-01-23,58,23,False,00:00:00
2020-01-23,51,21,False,01:00:00
2020-01-23,47,22,False,02:00:00
2020-01-23,44,20,False,03:00:00
2020-01-23,38,18,False,04:00:00
2020-01-23,37,18,False,05:00:00
2020-01-23,38,18,False,06:00:00
2020-01-23,41,15,False,07:00:00
2020-01-23,44,15,False,08:00:00
2020-01-23,49,14,False,09:00:00
2020-01-23,53,12,False,10:00:00
2020-01-23,49,11,False,11:00:00
2020-01-23,44,12,False,12:00:00
2020-01-23,43,12,False,13:00:00
2020-01-23,46,13,False,14:00:00
2020-01-23,52,14,False,15:00:00
2020-01-23,61,16,False,16:00:00
2020-01-23,67,17,False,17:00:00
2020-01-23,66,16,False,18:00:00
2020-01-23,63,15,False,19:00:00
2020-01-23,61,15,False,20:00:00
2020-01-23,64,17,False,21:00:00
2020-01-23,66,20,False,22:00:00
2020-01-23,68,23,False,23:00:00
2020-01-24,63,24,False,00:00:00
2020-01-24,58,22,False,01:00:00
2020-01-24,53,21,False,02:00:00
2020-01-24,49,21,False,03:00:00
2020-01-24,43,20,False,04:00:00
2020-01-24,40,17,False,05:00:00
2020-01-24,42,15,False,06:00:00
2020-01-24,41,14,False,07:00:00
2020-01-24,44,12,False,08:00:00
2020-01-24,49,14,False,09:00:00
2020-01-24,54,13,False,10:00:00
2020-01-24,54,12,False,11:00:00
2020-01-24,49,13,False,12:00:00
2020-01-24,48,13,False,13:00:00
2020-01-24,52,14,False,14:00:00
2020-01-24,61,15,False,15:00:00
2020-01-24,73,18,False,16:00:00
2020-01-24,82,19,False,17:00:00
2020-01-24,80,18,False,18:00:00
2020-01-24,74,18,False,19:00:00
2020-01-24,71,17,False,20:00:00
2020-01-24,74,18,False,21:00:00
2020-01-24,84,22,False,22:00:00
2020-01-24,90,28,False,23:00:00
2020-01-25,83,29,False,00:00:00
2020-01-25,71,26,False,01:00:00
2020-01-25,63,24,False,02:00:00
2020-01-25,55,24,False,03:00:00
2020-01-25,49,21,False,04:00:00
2020-01-25,44,20,False,05:00:00
2020-01-25,42,17,False,06:00:00
2020-01-25,46,15,False,07:00:00
2020-01-25,51,15,False,08:00:00
2020-01-25,56,13,False,09:00:00
2020-01-25,62,13,False,10:00:00
2020-01-25,67,13,False,11:00:00
2020-01-25,63,12,False,12:00:00
2020-01-25,62,13,False,13:00:00
2020-01-25,65,13,False,14:00:00
2020-01-25,74,14,False,15:00:00
2020-01-25,89,16,False,16:00:00
2020-01-25,100,18,False,17:00:00
2020-01-25,99,19,False,18:00:00
2020-01-25,89,18,False,19:00:00
2020-01-25,85,18,False,20:00:00
2020-01-25,89,20,False,21:00:00
